Équipes;Matchs joués;Matchs Gagnés;Matchs perdus;Matchs nuls;Buts mis;Buts encaissés
Paris SG;27;22;2;3;75;24
OM;28;16;8;4;41;29
Rennes;28;15;5;8;38;24
Lille;28;15;4;9;35;27
Reims;28;10;11;7;26;21
Nice;28;11;8;9;41;38
OL;28;11;7;10;42;27
Montpellier;28;11;7;10;35;34
Monaco;28;11;7;10;44;44
Angers;28;11;6;11;28;33
Strasbourg;27;11;5;11;32;32
Bordeaux;28;9;10;9;40;34
Nantes;28;11;4;13;28;31
Brest;28;8;10;10;34;37
Metz;28;8;10;10;27;35
Dijon;28;8;6;14;29;45
ASSE;28;8;6;14;29;45
Nimes;28;7;6;15;29;44
Amiens;28;4;11;13;31;50
Toulouse;28;3;4;21;22;58
